country_code,city_name,ascii_name,alt_names,latitude,longitude,iana_timezone,utc_offset_minutes,utc_offset_label
ZA,Sun City,Sun City,FAPN|NTY,-25.333822,27.173358,Africa/Johannesburg,120,UTC+02:00
US,"Clovis, New Mexico","Clovis, New Mexico",CVN|CVS|KCVN|KCVS,34.425139,-103.079278,America/Denver,-360,UTC-06:00
US,"Scammon Bay, Alaska","Scammon Bay, Alaska",PACM|SCM,61.845278,-165.571389,America/Nome,-480,UTC-08:00
MY,Kapit,Kapit,KPI,2.017,112.95,Asia/Kuching,480,UTC+08:00
US,"Eagle River, Wisconsin","Eagle River, Wisconsin",EGV|KEGV,45.932333,-89.268283,America/Chicago,-300,UTC-05:00
AU,Darnley Island,Darnley Island,NLF|YDNI,-9.58333,143.767,Australia/Brisbane,600,UTC+10:00
CA,Blanc Sablon,Blanc Sablon,CYBX|YBX,51.4436,-57.1853,America/Blanc-Sablon,-240,UTC-04:00
PE,Andahuaylas,Andahuaylas,ANS|SPHY,-13.706408,-73.350378,America/Lima,-300,UTC-05:00
US,"Racine, Wisconsin","Racine, Wisconsin",KRAC|RAC,42.7605,-87.8152,America/Mexico_City,-360,UTC-06:00
JP,Tokyo,Tokyo,HND|LMJ|NRT|OKO|RJAA|RJTT|RJTY|TYQ,35.748492,139.348483,Asia/Tokyo,540,UTC+09:00
PK,Rahim Yar Khan,Rahim Yar Khan,OPRK|RYK,28.3839,70.279572,Asia/Karachi,300,UTC+05:00
CO,Capurgana,Capurgana,CPB|SKCA,8.616667,-77.333333,America/Bogota,-300,UTC-05:00
US,"College Station, Texas","College Station, Texas",CLL|KCLL,30.588583,-96.363833,America/Chicago,-300,UTC-05:00
AU,Cooma,Cooma,OOM|YCOM,-36.3006,148.974,Australia/Sydney,600,UTC+10:00
IN,Varanasi,Varanasi,VIBN|VNS,25.452358,82.859342,Asia/Kolkata,330,UTC+05:30
VE,Merida,Merida,MRD|SVMD,8.582294,-71.161186,America/Caracas,-240,UTC-04:00
RU,Vladimir,Vladimir,,56.09083415,40.26313305,Europe/Moscow,180,UTC+03:00
CL,Osorno,Osorno,SCJO|ZOS,-40.611208,-73.061042,America/Santiago,-240,UTC-04:00
CU,Ciego De Avila,Ciego De Avila,AVI|MUCA,22.027053,-78.789617,America/Havana,-240,UTC-04:00
ID,Pangkalpinang,Pangkalpinang,PGK|WIPK,-2.1622,106.139064,Asia/Jakarta,420,UTC+07:00
IT,Lampedusa,Lampedusa,LICD|LMP,35.497914,12.618083,Europe/Rome,120,UTC+02:00
PH,Lubang,Lubang,LBX|RPLU,13.855833,121.105833,Asia/Manila,480,UTC+08:00
SB,Viru,Viru,VIU,-8.5,157.683,Pacific/Guadalcanal,660,UTC+11:00
TR,Kars,Kars,KSY|LTCF,40.562222,43.115002,Europe/Istanbul,180,UTC+03:00
GA,Port Gentil,Port Gentil,FOOG|POG,-0.711739,8.754383,Africa/Libreville,60,UTC+01:00
CN,Baotou,Baotou,BAV|ZBOW,40.56,109.997,Asia/Chongqing,480,UTC+08:00
ZA,Upington,Upington,FAUP|UTN,-28.399097,21.260239,Africa/Johannesburg,120,UTC+02:00
AU,Wiluna,Wiluna,WUN|YWLU,-26.6292,120.221,Australia/Perth,480,UTC+08:00
CA,Dawson City,Dawson City,CYDA|YDA,64.043056,-139.127778,America/Whitehorse,-420,UTC-07:00
GB,Dundee,Dundee,DND|EGPN,56.452499,-3.025833,Europe/London,60,UTC+01:00
US,"Newtok, Alaska","Newtok, Alaska",WWT,60.939167,-164.641111,America/Nome,-480,UTC-08:00
PG,Sissano,Sissano,SIZ,0.0,0.0,Pacific/Port_Moresby,600,UTC+10:00
GE,Kutaisi,Kutaisi,KUT|UGKO,42.176653,42.482583,Asia/Tbilisi,240,UTC+04:00
KI,Tabiteuea North,Tabiteuea North,NGTE|TBF,-1.224469,174.775614,Pacific/Tarawa,720,UTC+12:00
VN,Banmethuot,Banmethuot,BMV|VVBM,12.668311,108.120272,Asia/Ho_Chi_Minh,420,UTC+07:00
CO,Pereira,Pereira,PEI|SKPE,4.812675,-75.739519,America/Bogota,-300,UTC-05:00
YE,Ataq,Ataq,AXK|OYAT,14.551322,46.826183,Asia/Aden,180,UTC+03:00
AU,Orange Springhill,Orange Springhill,CUG|OAG|YORG,-33.3817,149.133,Australia/Sydney,600,UTC+10:00
TH,Bangkok,Bangkok,BKK|DMK|VTBD|VTBS,13.681108,100.747283,Asia/Bangkok,420,UTC+07:00
BR,Itaituba,Itaituba,ITB,-4.2446,-56.00384,America/Santarem,-180,UTC-03:00
US,"Bartow, Florida","Bartow, Florida",BOW|KBOW,27.9434,-81.7834,America/New_York,-240,UTC-04:00
KE,Nanyuki,Nanyuki,HKNY|NYK,-0.067,37.033,Africa/Nairobi,180,UTC+03:00
ID,Babo,Babo,BXB|WASO,-2.532242,133.438894,Asia/Jayapura,540,UTC+09:00
ID,Labuan Bajo,Labuan Bajo,LBJ|WATO,-8.486656,119.88905,Asia/Makassar,480,UTC+08:00
GB,Portsmouth,Portsmouth,PME,50.8,-1.083333,Europe/London,60,UTC+01:00
AU,Theodore,Theodore,TDR|YTDR,-24.986737,150.093112,Australia/Brisbane,600,UTC+10:00
CZ,Karlovy Vary,Karlovy Vary,KLV|LKKV,50.202978,12.914983,Europe/Prague,120,UTC+02:00
MX,Los Mochis,Los Mochis,LMM|MMLM,25.685194,-109.080806,America/Mazatlan,-420,UTC-07:00
SE,Mora,Mora,ESKM|MXX,60.957908,14.511383,Europe/Stockholm,120,UTC+02:00
