country_code,city_name,ascii_name,alt_names,latitude,longitude,iana_timezone,utc_offset_minutes,utc_offset_label
MR,Kaedi,Kaedi,GQNK|KED,16.159547,-13.507617,Africa/Nouakchott,0,UTC+00:00
PA,Fort Kobbe,Fort Kobbe,HOW|MPHO,8.914794,-79.599633,America/Panama,-300,UTC-05:00
MZ,Tete,Tete,FQTT|TET,-16.104817,33.640181,Africa/Maputo,120,UTC+02:00
CA,Postville,Postville,CCD4|YSO,54.910278,-59.785278,America/Goose_Bay,-180,UTC-03:00
IR,Tehran,Tehran,IKA|OIIE|OIII|THR,35.689167,51.313416,Asia/Tehran,210,UTC+03:30
RU,Vologda,Vologda,ULWW|VGD|ВГЖ,59.284566,39.937265,Europe/Moscow,180,UTC+03:00
AU,Innisfail,Innisfail,IFL|YIFL,-17.55908,146.01123,Australia/Brisbane,600,UTC+10:00
US,"Quakertown, Pennsylvania","Quakertown, Pennsylvania",UKT,40.43598,-75.37958,America/New_York,-240,UTC-04:00
MZ,Mocimboa Praia,Mocimboa Praia,FQMP|MZB,-11.361789,40.354875,Africa/Maputo,120,UTC+02:00
US,"Cut Bank, Montana","Cut Bank, Montana",CTB|KCTB,48.608353,-112.376144,America/Denver,-360,UTC-06:00
CL,Los Angeles,Los Angeles,LSQ|SCGE,-37.401731,-72.425444,America/Santiago,-240,UTC-04:00
US,"Russian Mission, Alaska","Russian Mission, Alaska",PARS|RSH,61.775,-161.319444,America/Anchorage,-480,UTC-08:00
AF,Mazar I Sharif,Mazar I Sharif,MZR|OAMS,36.706914,67.209678,Asia/Kabul,270,UTC+04:30
US,"Missoula, Montana","Missoula, Montana",KMSO|MSO,46.916306,-114.090556,America/Denver,-360,UTC-06:00
BR,Bage,Bage,BGX|SBBG,-31.390528,-54.112244,America/Sao_Paulo,-180,UTC-03:00
CN,Xiangyang,Xiangyang,XFN|ZHXF,32.1506,112.291,Asia/Shanghai,480,UTC+08:00
JP,Kerama,Kerama,KJP|ROKR,26.168333,127.293333,Asia/Tokyo,540,UTC+09:00
US,"Lima, Ohio","Lima, Ohio",AOH|KAOH,40.707478,-84.0270781,America/New_York,-240,UTC-04:00
US,"Stillwater, Oklahoma","Stillwater, Oklahoma",SWO,36.161111,-97.085556,America/Chicago,-300,UTC-05:00
SE,Gaellivare,Gaellivare,ESNG|GEV,67.132408,20.814636,Europe/Stockholm,120,UTC+02:00
CM,Dschang,Dschang,DSC,5.45,10.067,Africa/Douala,60,UTC+01:00
BR,Governador Valadares,Governador Valadares,GVR|SBGV,-18.8952,-41.9822,America/Sao_Paulo,-180,UTC-03:00
RU,Pskov,Pskov,PKV|ULOO|ПСЖ,57.797173,28.389925,Europe/Moscow,180,UTC+03:00
CH,Bern,Bern,BRN|LSZB|ZDJ,46.9141,7.497153,Europe/Zurich,120,UTC+02:00
RU,Sochi,Sochi,AER|URSS,43.449928,39.956589,Europe/Moscow,180,UTC+03:00
JP,Nakashibetsu,Nakashibetsu,RJCN|SHB,43.5775,144.96,Asia/Tokyo,540,UTC+09:00
NP,Bajhang,Bajhang,BJH|VNBG,29.53896,81.185364,Asia/Kathmandu,345,UTC+05:45
CL,Santiago,Santiago,SCEL|SCL|ULC,-33.392975,-70.785803,America/Santiago,-240,UTC-04:00
US,"Price, Utah","Price, Utah",KPUC|PUC,39.609722,-110.75278,America/Denver,-360,UTC-06:00
US,"Baudette, MN","Baudette, MN",BDE|KBDE,48.728444,-94.612222,America/Chicago,-300,UTC-05:00
VE,Santo Domingo,Santo Domingo,STD|SVSO,7.565111,-72.035125,America/Caracas,-240,UTC-04:00
PF,Arutua,Arutua,AXR|NTGU,-15.248289,-146.616708,Pacific/Tahiti,-600,UTC-10:00
US,"Buckeye, Arizona","Buckeye, Arizona",BXK|KBXK,33.420417,-112.68618,America/Phoenix,-420,UTC-07:00
US,"Fort Jefferson, Florida","Fort Jefferson, Florida",RBN,24.61667,-82.86667,America/New_York,-240,UTC-04:00
IR,Bandar Abbas,Bandar Abbas,BND|OIKB,27.218317,56.37785,Asia/Tehran,210,UTC+03:30
GB,Isles Of Scilly,Isles Of Scilly,EGHT|ISC|TSO,49.919,-6.3075,Europe/London,60,UTC+01:00
CA,Penticton,Penticton,CYYF|YYF,49.463056,-119.602222,America/Vancouver,-420,UTC-07:00
BR,Ji Parana,Ji Parana,JPR|SWJI,-10.8708,-61.8465,America/Porto_Velho,-240,UTC-04:00
US,"Allentown, PA","Allentown, PA",ABE|KABE,40.652083,-75.440806,America/New_York,-240,UTC-04:00
RU,Chokurdah,Chokurdah,CKH|UESO,70.6231,147.902,Asia/Magadan,660,UTC+11:00
US,"Statesville, NC","Statesville, NC",KSVH|SVH,35.7649958,-80.9538958,America/New_York,-240,UTC-04:00
AU,Fitzroy Crossing,Fitzroy Crossing,FIZ|YFTZ,-18.178,125.591,Australia/Perth,480,UTC+08:00
VE,Maracaibo,Maracaibo,MAR|SVMC,10.558208,-71.727856,America/Caracas,-240,UTC-04:00
FI,Kauhava,Kauhava,EFKA|KAU,63.127078,23.051442,Europe/Helsinki,180,UTC+03:00
CA,Nain,Nain,CYDP|YDP,56.5492,-61.6803,America/Goose_Bay,-180,UTC-03:00
US,"Tuntutuliak, Alaska","Tuntutuliak, Alaska",WTL,60.335278,-162.666944,America/Anchorage,-480,UTC-08:00
AU,Parkes,Parkes,PKE|YPKS,-33.1314,148.239,Australia/Sydney,600,UTC+10:00
AT,Klagenfurt,Klagenfurt,KGV|KLU|LOWK,46.642514,14.337739,Europe/Vienna,120,UTC+02:00
US,"Pine Mountain, Georgia","Pine Mountain, Georgia",KPIM|PIM,32.8406944,-84.8824444,America/New_York,-240,UTC-04:00
US,"Dallas, Texas","Dallas, Texas",ADS|DAL|DFW|DNE|KADS|KDAL|KDFW,32.896828,-97.037997,America/Chicago,-300,UTC-05:00
US,"Kerrville, Texas","Kerrville, Texas",ERV|KERV,29.9766667,-99.0854722,America/Chicago,-300,UTC-05:00
CA,Elliot Lake,Elliot Lake,YEL,46.35139,-82.56139,America/Toronto,-240,UTC-04:00
IT,Milan,Milan,BGY|IMR|IPR|LIMC|LIME|LIML|LIMP|LIN|MXP|PMF|SWK|XIK,0.0,0.0,Europe/Rome,120,UTC+02:00
IN,Bellary,Bellary,BEP|VOBI,15.162783,76.882775,Asia/Kolkata,330,UTC+05:30
ZM,Kitwe,Kitwe,FLSO|KIW,-12.900469,28.149858,Africa/Lusaka,120,UTC+02:00
ES,Pamplona,Pamplona,EEP|LEPP|PNA,42.770039,-1.646331,Europe/Madrid,120,UTC+02:00
CD,Inongo,Inongo,FZBA|INO,-1.94722,18.2858,Africa/Kinshasa,60,UTC+01:00
TR,Samsun,Samsun,LTFH|SSX|SZF,41.2545,36.5671,Europe/Istanbul,180,UTC+03:00
MA,Errachidia,Errachidia,ERH|GMFK,31.9475,-4.398333,Africa/Casablanca,60,UTC+01:00
DE,Rostock,Rostock,ETNL|RLG,53.918167,12.278333,Europe/Berlin,120,UTC+02:00
US,"Kipnuk, Alaska","Kipnuk, Alaska",KPN|PAKI,59.933056,-164.030556,America/Nome,-480,UTC-08:00
NZ,Kaikoura,Kaikoura,KBZ|NZKI,-42.416668,173.68333,Pacific/Auckland,720,UTC+12:00
IT,Bari,Bari,BRI|LIBD,41.138856,16.760594,Europe/Rome,120,UTC+02:00
MH,Wotho Island,Wotho Island,WTO,10.1733,166.003,Pacific/Wake,720,UTC+12:00
NZ,Auckland,Auckland,AKL|MHB|NZAA,-37.008056,174.791667,Pacific/Auckland,720,UTC+12:00
TC,Salt Cay,Salt Cay,MBSY|SLX,21.333,-71.2,America/Grand_Turk,-240,UTC-04:00
JP,Tottori,Tottori,RJOR|TTJ,35.530069,134.166553,Asia/Tokyo,540,UTC+09:00
QA,Doha,Doha,DIA|DOH|OTBD|OTBH|OTHH|XJD|XOZ,25.261153,51.61377,Asia/Qatar,180,UTC+03:00
US,"Fairbanks, Alaska","Fairbanks, Alaska",EIL|FAI|FBK|PAEI|PAFA|PAFB,64.815114,-147.856267,America/Anchorage,-480,UTC-08:00
MH,Mili Island,Mili Island,MIJ|MLIP,6.08333,171.733,Pacific/Majuro,720,UTC+12:00
JP,Aomori,Aomori,AOJ|RJSA,40.734722,140.690833,Asia/Tokyo,540,UTC+09:00
US,"Reno, NV","Reno, NV",KRNO|RNO,39.499108,-119.768108,America/Los_Angeles,-420,UTC-07:00
CN,Weihai,Weihai,WEH|ZSWH,37.1871,122.229,Asia/Shanghai,480,UTC+08:00
CN,Yichang,Yichang,YIH|ZHYC,30.671,111.441,Asia/Shanghai,480,UTC+08:00
BR,Campo Grande,Campo Grande,CGR|SBCG,-20.468667,-54.6725,America/Campo_Grande,-240,UTC-04:00
PA,San Miguel,San Miguel,NMG,0.0,0.0,America/Panama,-300,UTC-05:00
MG,Mandabe,Mandabe,WMD,-21.033,44.95,Indian/Antananarivo,180,UTC+03:00
ES,Bilbao,Bilbao,BFB|BIO|LEBB|YJI,43.301097,-2.910608,Europe/Madrid,120,UTC+02:00
HR,Rijeka,Rijeka,LDRI|RJK,45.216889,14.570267,Europe/Zagreb,120,UTC+02:00
US,"Prospect Creek, Alaska","Prospect Creek, Alaska",PAPR|PPC,66.814167,-150.643611,America/Anchorage,-480,UTC-08:00
FR,Moulin Sur Allier,Moulin Sur Allier,LFHY|XMU,46.534581,3.423725,Europe/Paris,120,UTC+02:00
NO,Mehamn,Mehamn,ENMR|MEH,71.029722,27.826667,Europe/Oslo,120,UTC+02:00
CA,Fort Smith,Fort Smith,CYSM|YSM,60.020278,-111.961944,America/Yellowknife,-360,UTC-06:00
FR,Calvi,Calvi,CLY|LFKC,42.530753,8.793189,Europe/Paris,120,UTC+02:00
ZM,Solwezi,Solwezi,FLSW|SLI,-12.1737,26.3651,Africa/Lusaka,120,UTC+02:00
US,"Martinsburg, West Virginia","Martinsburg, West Virginia",KMRB|MRB,39.2407,-77.591,America/New_York,-240,UTC-04:00
US,"Lafayette, Indiana","Lafayette, Indiana",LAF,40.4123056,-86.9368889,America/Indiana/Indianapolis,-240,UTC-04:00
CA,Gillam,Gillam,CYGX|YGX,56.3575,-94.7106,America/Winnipeg,-300,UTC-05:00
US,"Tallahassee, Florida","Tallahassee, Florida",KTLH|TLH,30.396528,-84.350333,America/New_York,-240,UTC-04:00
CO,Leguizamo,Leguizamo,LGZ,0.0,0.0,America/Bogota,-300,UTC-05:00
RU,Bugulma,Bugulma,UUA|UWKB,54.64,52.8017,Europe/Moscow,180,UTC+03:00
IE,Galway,Galway,EICM|GWY,53.300175,-8.941592,Europe/Dublin,60,UTC+01:00
VE,Santa Elena,Santa Elena,SNV,4.554722,-61.144922,America/Caracas,-240,UTC-04:00
BR,Araxa,Araxa,AAX|SBAX,-19.563056,-46.960278,America/Sao_Paulo,-180,UTC-03:00
US,"Kekaha, Hawaii","Kekaha, Hawaii",BKH|PHBK,22.022833,-159.785,Pacific/Honolulu,-600,UTC-10:00
JP,Yamagata,Yamagata,GAJ|RJSC,38.411894,140.371331,Asia/Tokyo,540,UTC+09:00
ZA,Newcastle,Newcastle,FANC|NCS,-27.770586,29.976894,Africa/Johannesburg,120,UTC+02:00
NZ,Milford Sound,Milford Sound,MFN|NZMF,-44.67333,167.92333,Pacific/Auckland,720,UTC+12:00
TR,Bodrum,Bodrum,BJV|BXN|LTBV|LTFE,37.249,27.667,Europe/Istanbul,180,UTC+03:00
US,"Madison, WI","Madison, WI",KMSN|MSN,43.139858,-89.337514,America/Chicago,-300,UTC-05:00
BW,Selebi Phikwe,Selebi Phikwe,FBSP|PKW,-22.05835,27.828767,Africa/Gaborone,120,UTC+02:00
ID,Luwuk,Luwuk,LUW|WAMW,-1.038919,122.771906,Asia/Makassar,480,UTC+08:00
US,"Danville, Illinois","Danville, Illinois",DNV,40.1992,-87.5953,America/Chicago,-300,UTC-05:00
TZ,Lake Manyara,Lake Manyara,HTLM|LKY,-3.376306,35.818278,Africa/Dar_es_Salaam,180,UTC+03:00
MX,Ciudad Constitucion,Ciudad Constitucion,CUA|MMDA,25.0538,-111.615,America/Mazatlan,-420,UTC-07:00
US,"Battle Mountain, Nevada","Battle Mountain, Nevada",BAM|BAMB,49.911,10.9,America/Los_Angeles,-420,UTC-07:00
MG,Ambanja,Ambanja,FMNJ|IVA,-13.65,48.467,Indian/Antananarivo,180,UTC+03:00
AU,Kubin Island,Kubin Island,KUG|YKUB,-10.225,142.218,Australia/Brisbane,600,UTC+10:00
GB,Mansfield,Mansfield,ZMA,49.479633,8.469858,Europe/London,60,UTC+01:00
IN,Tirupati,Tirupati,TIR|VOTP,13.632492,79.543256,Asia/Kolkata,330,UTC+05:30
GB,Edinburgh,Edinburgh,EDI|EGPH|ZXE,55.95,-3.3725,Europe/London,60,UTC+01:00
CA,Port Hawkesbury,Port Hawkesbury,YPS,45.65667,-61.36806,America/Halifax,-180,UTC-03:00
PF,Maupiti,Maupiti,MAU|NTTP,-16.426486,-152.243669,Pacific/Tahiti,-600,UTC-10:00
AU,Shute Harbour,Shute Harbour,JHQ|YSHR,-20.278299,148.757004,Australia/Brisbane,600,UTC+10:00
US,"Kotlik, Alaska","Kotlik, Alaska",KOT|PFKO,63.030556,-163.532778,America/Nome,-480,UTC-08:00
CA,Telegraph Creek,Telegraph Creek,YTX,0.0,0.0,America/Vancouver,-420,UTC-07:00
CA,Fox Harbour,Fox Harbour,CCK4|YFX,52.3728,-55.6739,America/St_Johns,-150,UTC-02:30
FR,Tours,Tours,LFOT|TUF|XSH,47.432222,0.727606,Europe/Paris,120,UTC+02:00
PG,Nuku,Nuku,UKU,-3.667,142.483,Asia/Vladivostok,600,UTC+10:00
MX,Salina Cruz,Salina Cruz,MM57|SCX,16.2126,-95.2016,America/Mexico_City,-360,UTC-06:00
ET,Jinka,Jinka,BCO|HABC,5.78287,36.562,Africa/Addis_Ababa,180,UTC+03:00
AU,Mackay,Mackay,MKY|YBMK,-21.171667,149.179722,Australia/Brisbane,600,UTC+10:00
ES,Ibiza,Ibiza,IBZ|LEIB,38.872858,1.373117,Europe/Madrid,120,UTC+02:00
MH,Loen,Loen,LOF,0.0,0.0,Pacific/Majuro,720,UTC+12:00
NO,Fagernes,Fagernes,ENFG|VDB,61.015556,9.288056,Europe/Oslo,120,UTC+02:00
AR,Rio Grande,Rio Grande,RGA|SAWE,-53.777667,-67.749389,America/Argentina/Ushuaia,-180,UTC-03:00
CD,Isiro,Isiro,FZJH|IRP,2.827606,27.588253,Africa/Lubumbashi,120,UTC+02:00
KZ,Balkhash,Balkhash,BXH,46.8933,75.005,Asia/Qyzylorda,300,UTC+05:00
TO,Niuafo Ou,Niuafo Ou,NFO|NFTO,-15.5708,-175.633,Pacific/Tongatapu,780,UTC+13:00
MG,Soalala,Soalala,DWB|FMNO,-16.083,45.367,Indian/Antananarivo,180,UTC+03:00
US,"Huslia, Alaska","Huslia, Alaska",HSL|PAHL,65.697778,-156.351389,America/Anchorage,-480,UTC-08:00
PH,Puerto Princesa,Puerto Princesa,PPS|RPVP,9.742119,118.758731,Asia/Manila,480,UTC+08:00
DE,Heide Buesum,Heide Buesum,EDXB|HEI,54.1533,8.90167,Europe/Berlin,120,UTC+02:00
DE,Cologne,Cologne,BNJ|CGN|EDDK|QBB|QKL|QKU,50.865917,7.142744,Europe/Berlin,120,UTC+02:00
NO,Molde,Molde,ENML|MOL,62.744722,7.2625,Europe/Oslo,120,UTC+02:00
ZA,Kimberley,Kimberley,FAKM|KIM,-28.802834,24.765167,Africa/Johannesburg,120,UTC+02:00
AF,Sheghnan,Sheghnan,SGA,37.567,71.5,Asia/Kabul,270,UTC+04:30
TR,Afyon,Afyon,AFY|LTAH,38.726425,30.601114,Europe/Istanbul,180,UTC+03:00
KE,Samburu,Samburu,HKSB|UAS,0.530583,37.5342,Africa/Nairobi,180,UTC+03:00
US,"Fresh Water Bay, Alaska","Fresh Water Bay, Alaska",FRP|KFPR,27.497472,-80.372638,America/Anchorage,-480,UTC-08:00
NL,Lelystad,Lelystad,LEY,52.4603,5.52722,Europe/Amsterdam,120,UTC+02:00
BR,Rio Verde,Rio Verde,RVD|SWLC,-17.790278,-50.918333,America/Sao_Paulo,-180,UTC-03:00
US,"Fond Du Lac, Wisconsin","Fond Du Lac, Wisconsin",FLD|KFLD,43.7711667,-88.4884167,America/Chicago,-300,UTC-05:00
CA,Armstrong,Armstrong,CYYW|YYW,50.290279,-88.909721,America/Toronto,-240,UTC-04:00
BR,Rondonopolis,Rondonopolis,ROO|SWRD,-16.466667,-54.633333,America/Cuiaba,-240,UTC-04:00
NO,Kirkenes,Kirkenes,ENKR|KKN,69.725781,29.891295,Europe/Oslo,120,UTC+02:00
PG,Uvol,Uvol,UVO,0.0,0.0,Pacific/Port_Moresby,600,UTC+10:00
US,"Colorado Springs, Colorado","Colorado Springs, Colorado",COS|FCS|KCOS|KFCS,38.805805,-104.700778,America/Denver,-360,UTC-06:00
MG,Vohemar,Vohemar,FMNV|VOH,-13.375834,50.002777,Indian/Antananarivo,180,UTC+03:00
TR,Diyarbakir,Diyarbakir,DIY|LTCC,37.893897,40.201019,Europe/Istanbul,180,UTC+03:00
PG,Sule,Sule,ULE,-4.97472,151.297,Asia/Vladivostok,600,UTC+10:00
BR,Teixeira Freitas,Teixeira Freitas,TXF,-17.524167,-39.669722,America/Fortaleza,-180,UTC-03:00
US,"Emmonak, Alaska","Emmonak, Alaska",EMK|PAEM,62.786111,-164.490833,America/Nome,-480,UTC-08:00
RU,Pevek,Pevek,PWE|UHMP,69.783283,170.597006,Asia/Anadyr,720,UTC+12:00
ML,Mopti,Mopti,GAMB|MZI,14.512803,-4.079561,Africa/Bamako,0,UTC+00:00
TR,Hatay,Hatay,HTY|LTDA,36.362778,36.282222,Europe/Istanbul,180,UTC+03:00
PR,Mayaguez,Mayaguez,MAZ|TJMZ,18.255694,-67.148472,America/Puerto_Rico,-240,UTC-04:00
MX,Lagos De Moreno,Lagos De Moreno,LOM,0.0,0.0,America/Mexico_City,-360,UTC-06:00
WS,Maota Savaii Is,Maota Savaii Is,MXS|NSMA,-13.733,-172.3,Pacific/Apia,780,UTC+13:00
JP,Okushiri,Okushiri,OIR|RJEO,42.071667,139.432911,Asia/Tokyo,540,UTC+09:00
NC,Tiga,Tiga,NWWA|TGJ,-21.0961,167.804,Pacific/Noumea,660,UTC+11:00
BE,Brussels,Brussels,BRU|CRL|EBBR|EBCI|ZYR,50.901389,4.484444,Europe/Brussels,120,UTC+02:00
OM,Thumrait,Thumrait,OOTH|TTH,17.666,54.024612,Asia/Muscat,240,UTC+04:00
SA,Dammam,Dammam,DMM|DMS|OEDF,26.471161,49.79789,Asia/Riyadh,180,UTC+03:00
ME,Tivat,Tivat,LYTV|TIV,42.404664,18.723286,Europe/Podgorica,120,UTC+02:00
JP,Tokunoshima,Tokunoshima,RJKN|TKN,27.836381,128.881253,Asia/Tokyo,540,UTC+09:00
BS,South Andros,South Andros,TZN,0.0,0.0,America/Panama,-300,UTC-05:00
ID,Buol,Buol,UOL,1.15905,121.428,Asia/Makassar,480,UTC+08:00
IN,Pathankot,Pathankot,IXP|VIPK,32.233778,75.634628,Asia/Kolkata,330,UTC+05:30
RO,Iasi,Iasi,IAS|LRIA,47.178492,27.620631,Europe/Bucharest,180,UTC+03:00
ID,Manokwari,Manokwari,MKW|WASR,-0.891833,134.049183,Asia/Jayapura,540,UTC+09:00
KR,Gunsan,Gunsan,KUV|RKJK,35.903756,126.615906,Asia/Seoul,540,UTC+09:00
US,"Mountain Home, Idaho","Mountain Home, Idaho",KMUO|MUO,43.043603,-115.872431,America/Boise,-360,UTC-06:00
PG,Daru,Daru,AYDU|DAU,-9.08676,143.208,Pacific/Port_Moresby,600,UTC+10:00
MG,Tsaratanana,Tsaratanana,FMNT|TTS,-16.75,47.617,Indian/Antananarivo,180,UTC+03:00
US,"Dayton, Ohio","Dayton, Ohio",DAY|FFO|KDAY|KFFO,39.902375,-84.219375,America/New_York,-240,UTC-04:00
US,"Rhinelander, WI","Rhinelander, WI",KRHI|RHI,45.6312,-89.4675,America/Chicago,-300,UTC-05:00
EG,Marsa Alam,Marsa Alam,HEMA|RMF,25.557111,34.583711,Africa/Cairo,180,UTC+03:00
RO,Arad,Arad,ARW|LRAR,46.17655,21.262022,Europe/Bucharest,180,UTC+03:00
IT,Taranto,Taranto,LIBG|TAR,40.517514,17.403212,Europe/Rome,120,UTC+02:00
AU,Goulburn,Goulburn,GUL|YGLB,-34.8103,149.726,Australia/Sydney,600,UTC+10:00
JP,Shimojishima,Shimojishima,RORS|SHI,24.826667,125.144722,Asia/Tokyo,540,UTC+09:00
US,"Page, Arizona","Page, Arizona",KPGA|PGA,36.9261,-111.4483,America/Denver,-360,UTC-06:00
US,"Erie, PA","Erie, PA",ERI|KERI,42.082022,-80.176217,America/New_York,-240,UTC-04:00
RU,Tynda,Tynda,TYD|UHBW,55.2843,124.7825,Asia/Yakutsk,540,UTC+09:00
SE,Helsingborg,Helsingborg,AGH|ESTA|JHE,56.2961,12.8471,Europe/Stockholm,120,UTC+02:00
US,"Quincy, IL","Quincy, IL",KUIN|UIN,39.9427,-91.1946,America/Chicago,-300,UTC-05:00
MY,Kuala Terengganu,Kuala Terengganu,TGG|WMKN,5.382639,103.10336,Asia/Kuala_Lumpur,480,UTC+08:00
PA,El Real,El Real,ELE,8.133,-77.7,America/Panama,-300,UTC-05:00
PG,Gasmata Island,Gasmata Island,GMI,-6.27111,150.331,Asia/Vladivostok,600,UTC+10:00
ID,Surabaya,Surabaya,DHX|SUB|WARR,-7.379831,112.786858,Asia/Jakarta,420,UTC+07:00
GP,Saint Barthelemy,Saint Barthelemy,SBH|TFFJ,17.9023,-62.8324,America/St_Barthelemy,-240,UTC-04:00
AU,Muccan,Muccan,MUNI|MUQ,48.1408,11.555,Australia/Perth,480,UTC+08:00
MX,Manzanillo,Manzanillo,MMZO|ZLO,19.144778,-104.558631,America/Mexico_City,-360,UTC-06:00
ET,Arba Mintch,Arba Mintch,AMH|HAAM,6.039389,37.590453,Africa/Addis_Ababa,180,UTC+03:00
NO,Alta,Alta,ALF|ENAT,69.976111,23.371667,Europe/Oslo,120,UTC+02:00
